name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars,popularity_rank,Popularity up or down
Space Force,2020,None,6.9,TV,USA,30min,comedy,"24,826",984,None,TV-MA,53,Steve Carell  Greg Daniels  ,Steve Carell  John Malkovich  Ben Schwartz  ,1,None
Rick and Morty,2013,None,9.2,TV,USA,23min,comedy,"342,507",498,None,TV-14,46,Dan Harmon  Justin Roiland  ,Justin Roiland  Chris Parnell  Spencer Grammer  ,2,7
Community,2009,2015,8.5,TV,USA,22min,comedy,"196,293",282,None,TV-14,70,Dan Harmon  ,Joel McHale  Danny Pudi  Donald Glover  ,7,-1
The Office,2005,2013,8.9,TV,USA,22min,comedy,"362,643","1,005",None,TV-14,75,Greg Daniels  Ricky Gervais  Stephen Merchant  ,Steve Carell  Jenna Fischer  John Krasinski  ,12,7
Dead to Me,2019,None,8.1,TV,USA,30min,comedy,"44,103",570,None,TV-MA,43,Liz Feldman  ,Christina Applegate  Linda Cardellini  Sam McCarthy  ,20,-15
Secret Society of Second Born Royals,2020,None,None,Movie,USA,None,comedy,None ,5,None,None,,Anna Mastro  ,Alex Litvak  Andrew Green  ,20,202
Friends,1994,2004,8.9,TV,USA,22min,comedy,"767,383","1,428",None,TV-14,56,David Crane  Marta Kauffman  ,Jennifer Aniston  Courteney Cox  Lisa Kudrow  ,26,17
The Wrong Missy,2020,None,5.7,Movie,USA,1h 30min,comedy,"21,509",456,33,TV-MA,61,Tyler Spindel  ,Chris Pappas  ,5,-2
The Great,2020,None,8.1,TV,UK,None,comedy,"6,626",192,None,TV-MA,22,Tony McNamara  ,Elle Fanning  Nicholas Hoult  Phoebe Fox  ,28,-17
Ramy,2019,None,8.0,TV,USA,30min,comedy,"6,085",104,None,TV-MA,12,Ramy Youssef  Ari Katcher  Ryan Welch  ,Ramy Youssef  Amr Waked  Mohammed Amer  ,32,103
Modern Family,2009,2020,8.4,TV,USA,22min,comedy,"331,146",287,None,TV-PG,73,Steven Levitan  Christopher Lloyd  ,Ed O'Neill  Sofía Vergara  Julie Bowen  ,35,10
Upload,2020,None,8.1,TV,USA,30min,comedy,"23,262",509,None,TV-MA,34,Greg Daniels  ,Robbie Amell  Andy Allo  Zainab Johnson  ,39,-14
What We Do in the Shadows,2019,None,8.4,TV,USA,30min,comedy,"24,918",244,None,TV-MA,24,Jemaine Clement  ,Kayvan Novak  Matt Berry  Natasia Demetriou  ,40,13
Parasite,2019,None,8.6,Movie,South Korea,2h 12min,comedy,"425,548","2,518",96,None,515,Bong Joon Ho  ,Bong Joon Ho  Bong Joon Ho  ,11,3
Brooklyn Nine-Nine,2013,None,8.4,TV,USA,22min,comedy,"195,956",445,None,TV-14,33,Dan Goor  Michael Schur  ,Andy Samberg  Stephanie Beatriz  Terry Crews  ,42,13
Schitt's Creek,2015,2020,8.4,TV,Canada,22min,comedy,"35,329",538,None,TV-14,18,Dan Levy  Eugene Levy  ,Eugene Levy  Catherine O'Hara  Dan Levy  ,43,-3
Fuller House,2016,2020,6.8,TV,USA,30min,comedy,"23,522",247,None,TV-G,29,Jeff Franklin  ,Candace Cameron Bure  Jodie Sweetin  Andrea Barber  ,48,357
Knives Out,2019,None,7.9,Movie,USA,2h 10min,comedy,"318,096","1,992",82,None,437,Rian Johnson  ,,13,5
Once Upon a Time... in Hollywood,2019,None,7.7,Movie,USA,2h 41min,comedy,"477,263","4,996",83,None,602,Quentin Tarantino  ,,14,-2
The Big Bang Theory,2007,2019,8.1,TV,USA,22min,comedy,"690,532",859,None,TV-14,116,Chuck Lorre  Bill Prady  ,Johnny Galecki  Jim Parsons  Kaley Cuoco  ,53,8
The Gentlemen,2019,None,7.9,Movie,UK,1h 53min,comedy,"146,201","1,030",51,None,246,Guy Ritchie  ,Guy Ritchie  Ivan Atkinson  ,15,-2
Glee,2009,2015,6.7,TV,USA,44min,comedy,"131,782",222,None,TV-PG,74,Ian Brennan  Brad Falchuk  Ryan Murphy  ,Lea Michele  Jane Lynch  Matthew Morrison  ,65,81
Parks and Recreation,2009,2020,8.6,TV,USA,22min,comedy,"198,125",269,None,TV-14,49,Greg Daniels  Michael Schur  ,Amy Poehler  Jim O'Heir  Nick Offerman  ,67,-3
